absence_days,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,career_aspiration_Business Owner,career_aspiration_Doctor,science_avg,humanities_avg,engagement_score,performance_consistency,average_score,performance_category
3,34,100,77,80,94,63,90,90,0.0,0.0,84.25,85.66666666666667,32.5,87.55775246149138,84.85714285714286,High
0,23,64,75,93,79,81,96,85,0.0,0.0,79.25,85.33333333333333,23.0,89.13064596478442,81.85714285714286,High
1,17,79,65,99,71,76,77,83,0.0,0.0,81.25,75.0,21.5,89.29397143572615,78.57142857142857,High
3,19,82,100,61,97,30,74,73,0.0,0.0,67.5,82.33333333333333,17.5,76.28341950288385,73.85714285714286,Average
0,14,88,69,87,100,88,85,72,0.0,0.0,90.75,75.33333333333333,14.0,89.45756872714566,84.14285714285714,High
4,30,70,68,92,74,82,85,72,0.0,0.0,79.5,75.0,28.0,91.09574740443004,77.57142857142857,High
4,30,77,96,98,89,85,62,62,0.0,0.0,87.25,73.33333333333333,28.0,85.10353189830684,81.28571428571429,High
1,24,99,84,84,78,78,77,68,0.0,0.0,84.75,76.33333333333333,23.5,90.47059688073152,81.14285714285714,High
3,31,90,93,91,80,86,69,62,0.0,0.0,86.75,74.66666666666667,34.5,88.07164243134395,81.57142857142857,High
1,21,65,70,78,98,80,66,65,0.0,0.0,80.25,67.0,20.5,87.97423401113062,74.57142857142857,Average
2,19,99,94,87,71,89,91,96,0.0,0.0,86.5,93.66666666666669,23.0,90.8374468103928,89.57142857142857,High
1,29,92,100,85,89,81,91,88,0.0,0.0,86.75,93.0,28.5,94.03183046327874,89.42857142857143,High
4,21,77,64,64,88,94,82,78,0.0,0.0,80.75,74.66666666666667,19.0,88.70946456202407,78.14285714285714,High
4,18,92,60,66,87,60,83,95,0.0,0.0,76.25,79.33333333333333,16.0,84.82483231441199,77.57142857142857,High
4,31,85,97,64,90,79,81,81,0.0,0.0,79.5,86.33333333333333,29.0,89.73911727551112,82.42857142857143,High
7,4,65,55,66,50,88,56,86,1.0,0.0,67.25,65.66666666666667,0.5,84.94612848403948,66.57142857142857,Average
6,3,93,94,92,77,87,98,63,1.0,0.0,87.25,85.0,0.0,87.72924498771863,86.28571428571429,High
4,3,97,99,85,96,91,68,66,0.0,0.0,92.25,77.66666666666667,1.0,86.21595124790977,86.0,High
4,3,54,99,79,57,53,95,83,1.0,0.0,60.75,92.33333333333331,1.0,80.41502033262663,74.28571428571429,Average
5,5,88,53,50,58,84,53,96,1.0,0.0,70.0,67.33333333333333,7.5,80.38343751291976,68.85714285714286,Average
5,27,71,85,93,68,100,91,87,0.0,0.0,83.0,87.66666666666667,29.5,88.3523965268959,85.0,High
0,28,81,98,74,70,97,65,65,0.0,0.0,80.5,76.0,33.0,85.94229579130904,78.57142857142857,High
4,32,80,78,86,80,64,68,100,0.0,0.0,77.5,82.0,30.0,88.18394957614653,79.42857142857143,High
0,14,100,89,90,93,30,83,74,0.0,0.0,78.25,82.0,14.0,76.56620267342791,79.85714285714286,High
6,16,76,72,96,65,89,87,94,0.0,0.0,81.5,84.33333333333333,18.0,88.20008071052622,82.71428571428571,High
2,24,99,81,73,70,85,86,61,0.0,0.0,81.75,76.0,23.0,87.55392584367416,79.28571428571429,High
9,0,64,70,61,81,82,51,70,1.0,0.0,72.0,63.66666666666666,-4.5,89.00216471516413,68.42857142857143,Average
3,32,90,96,86,61,89,98,68,0.0,0.0,81.5,87.33333333333333,30.5,85.91691321714826,84.0,High
2,3,85,100,92,68,60,77,83,0.0,0.0,76.25,86.66666666666667,2.0,86.29216421513732,80.71428571428571,High
6,31,91,60,84,88,76,71,99,0.0,0.0,84.75,76.66666666666667,28.0,86.7874518516893,81.28571428571429,High
3,21,95,72,79,86,87,81,62,0.0,0.0,86.75,71.66666666666667,19.5,89.20317506989075,80.28571428571429,High
2,18,94,78,73,97,67,78,99,0.0,0.0,82.75,85.0,17.0,87.24964986475162,83.71428571428571,High
7,26,94,89,64,96,91,95,77,0.0,0.0,86.25,87.0,22.5,88.15577295532907,86.57142857142857,High
4,23,89,99,90,79,85,96,98,0.0,0.0,85.75,97.66666666666669,21.0,92.66450248384449,90.85714285714286,Excellent
2,1,91,81,88,71,78,83,76,0.0,0.0,82.0,80.0,0.0,93.085556869167,81.14285714285714,High
5,33,83,86,61,99,99,88,73,0.0,0.0,85.5,82.33333333333333,30.5,86.3321719424949,84.14285714285714,High
7,2,98,65,53,64,52,96,62,1.0,0.0,66.75,74.33333333333333,-1.5,80.86016370672587,70.0,Average
1,34,83,97,65,88,67,95,69,0.0,0.0,75.75,87.0,33.5,86.46169455634443,80.57142857142857,High
2,18,91,73,99,70,63,80,78,0.0,0.0,80.75,77.0,17.0,87.62490981273845,79.14285714285714,High
6,2,90,54,77,74,76,96,88,1.0,0.0,79.25,79.33333333333333,-1.0,86.13500467947806,79.28571428571429,High
3,27,92,86,66,69,100,71,80,0.0,0.0,81.75,79.0,25.5,87.2477826391232,80.57142857142857,High
2,8,64,64,73,76,72,97,91,0.0,0.0,71.25,84.0,7.0,87.24964986475162,76.71428571428571,High
4,14,90,70,85,60,81,71,88,0.0,0.0,79.0,76.33333333333333,12.0,88.90302486517803,77.85714285714286,High
10,22,99,81,96,69,91,87,83,0.0,0.0,88.75,83.66666666666667,22.0,89.86989399764012,86.57142857142857,High
1,15,89,66,93,81,86,88,70,0.0,0.0,87.25,74.66666666666667,14.5,89.81130411634915,81.85714285714286,High
3,22,62,87,93,83,93,97,73,0.0,0.0,82.75,85.66666666666667,20.5,87.4434611987751,84.0,High
10,1,61,70,69,64,59,78,80,1.0,0.0,63.25,76.0,-4.0,91.92298970917486,68.71428571428571,Average
8,3,51,54,66,87,99,58,68,1.0,0.0,75.75,60.0,-1.0,82.18614771215016,69.0,Average
2,20,85,100,64,68,73,81,87,0.0,0.0,72.5,89.33333333333333,19.0,87.5941641996695,79.71428571428571,High
7,27,99,90,96,92,100,98,77,0.0,0.0,96.75,88.33333333333333,28.5,91.99107640548011,93.14285714285714,Excellent
3,24,87,63,60,90,89,99,80,0.0,0.0,81.5,80.66666666666667,22.5,85.44632267055766,81.14285714285714,High
1,5,75,91,80,93,74,93,65,0.0,0.0,80.5,83.0,9.5,88.98702064445256,81.57142857142857,High
7,34,88,94,80,63,68,77,64,0.0,0.0,74.75,78.33333333333333,30.5,88.0178704492303,76.28571428571429,High
3,16,87,79,89,68,93,75,92,0.0,0.0,84.25,82.0,14.5,90.53578167139892,83.28571428571429,High
3,3,87,67,94,92,62,58,65,1.0,0.0,83.75,63.333333333333336,1.5,84.63770850426279,75.0,Average
1,15,76,67,83,85,91,61,67,0.0,0.0,83.75,65.0,14.5,88.88373135573683,75.71428571428571,High
7,11,60,80,61,63,95,92,75,0.0,0.0,69.75,82.33333333333333,7.5,85.4005870959529,75.14285714285714,High
7,32,85,65,99,100,88,93,72,0.0,0.0,93.0,76.66666666666667,28.5,86.73350083857841,86.0,High
3,28,73,67,70,71,65,73,87,0.0,0.0,69.75,75.66666666666667,26.5,92.865242687746,72.28571428571429,Average
1,24,85,71,69,80,70,77,66,0.0,0.0,76.0,71.33333333333333,23.5,93.16869948936026,74.0,Average
2,9,91,76,71,72,92,67,90,0.0,0.0,81.5,77.66666666666667,8.0,89.23851665384721,79.85714285714286,High
3,14,99,95,83,89,81,63,70,0.0,0.0,88.0,76.0,17.5,87.03300894028006,82.85714285714286,High
3,16,93,96,68,87,69,89,100,0.0,0.0,79.25,95.0,14.5,87.29829407782823,86.0,High
3,29,89,75,60,80,62,85,73,0.0,0.0,72.75,77.66666666666667,27.5,89.05424631149029,74.85714285714286,Average
0,14,95,78,95,73,32,65,68,0.0,0.0,73.75,70.33333333333333,14.0,78.55460977494786,72.28571428571429,Average
4,10,68,82,95,63,62,98,93,0.0,0.0,72.0,91.0,8.0,84.3004397999119,80.14285714285714,High
5,31,98,73,73,77,87,98,83,0.0,0.0,83.75,84.66666666666667,28.5,89.25401514628881,84.14285714285714,High
4,34,79,92,79,76,84,67,86,0.0,0.0,79.5,81.66666666666667,32.0,92.02384506049138,80.42857142857143,High
5,3,78,79,73,96,64,93,85,0.0,0.0,77.75,85.66666666666667,0.5,88.81327317117035,81.14285714285714,High
2,34,100,98,89,85,81,64,94,0.0,0.0,88.75,85.33333333333333,38.0,87.67503501405534,87.28571428571429,High
3,2,86,76,84,93,76,69,91,0.0,0.0,84.75,78.66666666666667,5.5,91.2168993434632,82.14285714285714,High
3,4,87,89,93,98,79,72,88,0.0,0.0,89.25,83.0,2.5,91.34249568568512,86.57142857142857,High
0,28,100,93,85,61,96,83,86,0.0,0.0,85.5,87.33333333333333,28.0,87.22353353864634,86.28571428571429,High
0,5,85,89,94,69,99,93,98,0.0,0.0,86.75,93.33333333333331,5.0,89.70668270418224,89.57142857142857,High
2,4,87,73,98,91,79,60,77,0.0,0.0,88.75,70.0,3.0,87.42072755529577,80.71428571428571,High
2,25,96,80,100,61,81,98,65,0.0,0.0,84.5,81.0,24.0,84.16754388394945,83.0,High
5,29,76,87,64,74,73,90,99,0.0,0.0,71.75,92.0,26.5,87.98810113738405,80.42857142857143,High
6,1,90,80,63,94,64,70,79,0.0,0.0,77.75,76.33333333333333,-2.0,87.85602246065193,77.14285714285714,High
7,2,65,60,100,91,87,78,99,1.0,0.0,85.75,79.0,-1.5,84.17356039798621,82.85714285714286,High
2,0,98,97,62,89,62,95,77,0.0,0.0,77.75,89.66666666666667,-1.0,84.08953623734189,82.85714285714286,High
3,16,91,80,97,89,94,95,84,0.0,0.0,92.75,86.33333333333333,14.5,93.83558599703102,90.0,High
3,31,86,81,83,81,81,77,86,0.0,0.0,82.75,81.33333333333333,34.5,96.81521474148458,82.14285714285714,High
1,4,91,93,72,61,61,87,95,0.0,0.0,71.25,91.66666666666669,3.5,85.0,80.0,High
5,13,78,69,82,60,64,77,82,0.0,0.0,71.0,76.0,15.5,91.16015514034,73.14285714285714,Average
4,24,76,89,89,83,89,90,64,0.0,0.0,84.25,81.0,22.0,90.2801136592967,82.85714285714286,High
9,2,82,54,85,57,50,54,76,1.0,0.0,68.5,61.333333333333336,-2.5,85.0572521173074,65.42857142857143,Average
2,4,45,85,94,76,57,93,86,1.0,0.0,68.0,88.0,8.0,81.23072419389298,76.57142857142857,High
1,22,92,75,65,97,61,76,81,0.0,0.0,78.75,77.33333333333333,21.5,86.85429637449847,78.14285714285714,High
6,0,43,65,91,75,64,94,100,1.0,0.0,68.25,86.33333333333333,2.0,79.66939909069745,76.0,High
2,24,96,66,69,65,72,84,77,0.0,0.0,75.5,75.66666666666667,23.0,88.82178990390764,75.57142857142857,High
6,1,78,71,50,55,54,97,95,1.0,0.0,59.25,87.66666666666667,-2.0,80.48199854102934,71.42857142857143,Average
1,19,68,96,64,70,74,63,75,0.0,0.0,69.0,78.0,18.5,88.82818171426317,72.85714285714286,Average
1,19,93,73,94,65,60,63,93,0.0,0.0,78.0,76.33333333333333,23.5,84.47889301935065,77.28571428571429,High
6,5,55,93,67,74,55,60,64,1.0,0.0,62.75,72.33333333333333,2.0,86.64050186286212,66.85714285714286,Average
0,13,66,90,83,80,76,90,91,0.0,0.0,76.25,90.33333333333331,13.0,90.82186864127044,82.28571428571429,High
4,26,98,92,91,99,97,88,75,0.0,1.0,96.25,85.0,24.0,91.69624296162388,91.42857142857144,Excellent
4,41,94,94,94,89,85,86,85,0.0,1.0,90.5,88.33333333333333,39.0,95.64656676261356,89.57142857142857,High
3,47,96,100,96,91,91,96,89,0.0,1.0,93.5,95.0,45.5,96.10861757946394,94.14285714285714,Excellent
2,9,69,62,82,89,81,72,71,0.0,0.0,80.25,68.33333333333333,8.0,90.77271127888278,75.14285714285714,High
4,7,77,95,98,69,60,89,71,0.0,0.0,76.0,85.0,5.0,85.61912645874654,79.85714285714286,High
1,3,89,67,86,87,87,68,78,0.0,0.0,87.25,71.0,2.5,90.5887605188568,80.28571428571429,High
4,14,96,67,80,83,86,77,75,0.0,0.0,86.25,73.0,17.0,90.85565488298656,80.57142857142857,High
4,26,82,70,80,70,96,69,86,0.0,0.0,82.0,75.0,24.0,89.91701102516389,79.0,High
6,27,99,97,64,90,87,68,69,0.0,0.0,85.0,78.0,29.0,85.32575953129657,82.0,High
5,25,96,73,90,85,63,84,87,0.0,0.0,83.5,81.33333333333333,22.5,88.9116105338791,82.57142857142857,High
4,16,95,82,66,63,67,92,69,0.0,0.0,72.75,81.0,14.0,86.76224734941405,76.28571428571429,High
4,27,90,63,69,80,99,69,79,0.0,0.0,84.5,70.33333333333333,25.0,87.2477826391232,78.42857142857143,High
6,0,88,52,53,56,85,93,78,1.0,0.0,70.5,74.33333333333333,-3.0,82.1167809438702,72.14285714285714,Average
1,3,87,62,87,96,85,90,74,0.0,0.0,88.75,75.33333333333333,2.5,88.62751859384535,83.0,High
2,6,62,83,84,75,83,85,86,0.0,0.0,76.0,84.66666666666667,5.0,91.40321211703105,79.71428571428571,High
2,12,85,65,60,78,81,96,76,0.0,0.0,76.0,79.0,11.0,87.92089564972792,77.28571428571429,High
1,11,79,97,76,67,61,90,95,0.0,0.0,70.75,94.0,15.5,86.11098412756462,80.71428571428571,High
4,23,90,94,98,96,68,82,81,0.0,0.0,88.0,85.66666666666667,21.0,89.33854293885368,87.0,High
2,23,97,71,82,80,97,93,78,0.0,1.0,89.0,80.66666666666667,22.0,89.7553730691459,85.42857142857143,High
0,16,88,69,87,81,77,67,93,0.0,0.0,83.25,76.33333333333333,16.0,90.15597836731544,80.28571428571429,High
2,3,71,85,77,89,98,63,100,0.0,0.0,83.75,82.66666666666667,7.0,86.25573712763169,83.28571428571429,High
1,29,70,99,79,96,60,97,100,0.0,0.0,76.25,98.66666666666669,28.5,83.84008486585226,85.85714285714286,High
3,18,93,68,76,99,80,80,75,0.0,0.0,87.0,74.33333333333333,21.5,89.21641459041965,81.57142857142857,High
0,3,92,79,81,61,86,72,88,0.0,0.0,80.0,79.66666666666667,3.0,89.42599773928889,79.85714285714286,High
3,6,83,72,68,94,100,98,92,0.0,0.0,86.25,87.33333333333333,4.5,87.31517592141059,86.71428571428571,High
8,2,68,97,51,93,68,58,78,1.0,0.0,70.0,77.66666666666667,-2.0,82.87580380753317,73.28571428571429,Average
0,34,92,90,65,79,96,87,74,0.0,0.0,83.0,83.66666666666667,34.0,88.92880184571568,83.28571428571429,High
4,22,69,91,82,99,94,75,74,0.0,0.0,86.0,80.0,25.0,88.5857232254639,83.42857142857143,High
5,4,76,72,72,65,82,71,93,1.0,0.0,73.75,78.66666666666667,1.5,90.84524583565872,75.85714285714286,High
3,3,86,92,79,73,73,61,60,0.0,0.0,77.75,71.0,1.5,88.06366092655749,74.85714285714286,Average
10,2,41,57,97,56,50,98,83,1.0,0.0,61.0,79.33333333333333,-3.0,76.62316979408477,68.85714285714286,Average
5,18,91,100,84,72,84,90,82,0.0,0.0,82.75,90.66666666666669,15.5,91.27401254052832,86.14285714285714,High
0,8,78,67,82,70,65,68,81,0.0,0.0,73.75,72.0,8.0,92.88194783197912,73.0,Average
1,33,89,73,85,84,73,81,98,0.0,0.0,82.75,84.0,32.5,91.1547699160454,83.28571428571429,High
0,13,96,71,88,74,80,92,65,0.0,0.0,84.5,76.0,18.0,88.44681037651547,80.85714285714286,High
0,17,66,99,85,90,76,64,95,0.0,0.0,79.25,86.0,22.0,86.17455761493119,82.14285714285714,High
8,1,97,54,62,66,58,69,96,1.0,0.0,70.75,73.0,-3.0,82.36750834666972,71.71428571428571,Average
7,3,49,64,97,61,62,72,65,1.0,0.0,67.25,67.0,4.5,85.15155932509442,67.14285714285714,Average
4,33,88,66,96,82,65,76,79,0.0,0.0,82.75,73.66666666666667,36.0,88.79838447025651,78.85714285714286,High
1,12,92,64,77,61,76,72,87,0.0,0.0,76.5,74.33333333333333,11.5,88.73268528209223,75.57142857142857,High
3,24,96,66,92,88,65,76,72,0.0,0.0,85.25,71.33333333333333,22.5,87.3414813173857,79.28571428571429,High
4,33,86,88,99,79,93,97,91,0.0,0.0,89.25,92.0,31.0,93.17218573633936,90.42857142857144,Excellent
1,44,86,100,100,96,95,97,93,0.0,1.0,94.25,96.66666666666669,48.5,95.17940924386905,95.28571428571428,Excellent
1,15,88,72,96,60,90,80,88,0.0,0.0,83.5,80.0,14.5,87.61721625266219,82.0,High
2,5,92,81,99,98,77,80,73,0.0,0.0,91.5,78.0,4.0,89.51645279951667,85.71428571428571,High
7,5,87,76,71,65,64,81,61,1.0,0.0,71.75,72.66666666666667,1.5,90.36623003131568,72.14285714285714,Average
5,22,89,94,67,68,69,92,76,0.0,0.0,73.25,87.33333333333333,19.5,87.97621404999954,79.28571428571429,High
1,9,97,96,66,96,71,97,66,0.0,0.0,82.5,86.33333333333333,8.5,84.49270524958688,84.14285714285714,High
4,34,100,62,67,97,73,84,99,0.0,0.0,84.25,81.66666666666667,37.0,83.98512596127617,83.14285714285714,High
1,34,91,98,76,99,65,98,71,0.0,0.0,82.75,89.0,33.5,85.59100809844604,85.42857142857143,High
4,25,81,87,65,85,74,64,81,0.0,0.0,76.25,77.33333333333333,23.0,90.71355314245028,76.71428571428571,High
5,31,82,66,89,76,68,83,79,0.0,0.0,78.75,76.0,33.5,91.73648293486882,77.57142857142857,High
1,33,100,96,75,68,77,97,81,0.0,0.0,80.0,91.33333333333331,32.5,87.35842083402854,84.85714285714286,High
10,3,65,100,80,83,57,81,81,1.0,0.0,71.25,87.33333333333333,3.0,86.21077024838381,78.14285714285714,High
2,20,68,100,89,75,84,78,90,0.0,0.0,79.0,89.33333333333333,19.0,89.29397143572615,83.42857142857143,High
3,15,97,92,95,75,95,90,83,0.0,0.0,90.5,88.33333333333333,13.5,92.0867801989931,89.57142857142857,High
3,26,76,94,77,88,85,91,61,0.0,0.0,81.5,82.0,24.5,88.66106580972318,81.71428571428571,High
5,35,91,99,94,94,95,98,89,0.0,0.0,93.5,95.33333333333331,32.5,96.45437895828832,94.28571428571428,Excellent
4,12,85,73,89,73,97,66,79,0.0,0.0,86.0,72.66666666666667,10.0,89.28063612406213,80.28571428571429,High
2,5,68,69,86,87,72,80,93,0.0,0.0,78.25,80.66666666666667,9.0,90.1729237017601,79.28571428571429,High
1,31,73,99,75,70,100,86,62,0.0,0.0,79.5,82.33333333333333,30.5,85.32900496768896,80.71428571428571,High
3,28,65,90,75,96,91,93,85,0.0,0.0,81.75,89.33333333333333,31.5,88.84951421088151,85.0,High
8,5,46,79,75,86,91,88,77,1.0,0.0,74.5,81.33333333333333,6.0,84.91295099699587,77.42857142857143,High
1,33,92,84,85,77,81,69,95,0.0,0.0,83.75,82.66666666666667,32.5,91.19253563325807,83.28571428571429,High
3,2,69,78,69,70,100,88,85,0.0,0.0,77.0,83.66666666666667,0.5,88.20411694094685,79.85714285714286,High
5,9,78,99,64,99,65,84,80,0.0,0.0,76.5,87.66666666666667,11.5,85.79068045595561,81.28571428571429,High
2,0,92,62,86,97,54,76,76,1.0,0.0,82.25,71.33333333333333,4.0,84.4023811341053,77.57142857142857,High
5,26,70,77,91,96,100,89,67,0.0,0.0,89.25,77.66666666666667,23.5,87.04219301329265,84.28571428571429,High
5,30,95,79,98,95,89,99,87,0.0,0.0,94.25,88.33333333333333,27.5,92.865242687746,91.71428571428572,Excellent
7,1,99,82,93,83,92,90,60,0.0,0.0,91.75,77.33333333333333,-2.5,87.28705196978106,85.57142857142857,High
1,26,96,66,79,80,88,61,85,0.0,0.0,85.75,70.66666666666667,30.5,87.7564399823923,79.28571428571429,High
2,2,85,90,85,74,96,71,80,0.0,0.0,85.0,80.33333333333333,1.0,91.24404964229088,83.0,High
5,9,91,94,82,100,68,66,69,0.0,0.0,85.25,76.33333333333333,6.5,86.04940690798246,81.42857142857143,High
2,30,85,64,93,80,82,70,94,0.0,0.0,85.0,76.0,29.0,88.88801590731023,81.14285714285714,High
3,24,94,73,61,68,65,85,67,0.0,0.0,72.0,75.0,22.5,88.07363864214675,73.28571428571429,Average
4,21,95,69,62,87,84,83,64,0.0,0.0,82.0,72.0,19.0,87.32832179340761,77.71428571428571,High
2,14,69,90,83,70,83,91,67,0.0,0.0,76.25,82.66666666666667,13.0,89.81831710046582,79.0,High
1,24,95,72,94,96,91,61,94,0.0,0.0,94.0,75.66666666666667,23.5,86.1264211367005,86.14285714285714,High
3,34,94,88,65,88,60,81,78,0.0,0.0,76.75,82.33333333333333,32.5,87.42451364189611,79.14285714285714,High
1,34,82,81,100,81,60,79,96,0.0,0.0,80.75,85.33333333333333,38.5,87.01649397999799,82.71428571428571,High
6,27,99,73,91,91,93,80,100,0.0,0.0,93.5,84.33333333333333,29.0,90.17050115117522,89.57142857142857,High
3,16,85,62,84,80,37,80,71,0.0,0.0,71.5,71.0,14.5,82.8563492247199,71.28571428571429,Average
1,21,100,87,60,92,46,67,96,0.0,0.0,74.5,83.33333333333333,25.5,79.37061734875644,78.28571428571429,High
1,1,98,95,90,81,82,86,98,0.0,0.0,87.75,93.0,0.5,92.76582186192977,90.0,High
3,17,97,78,81,67,90,95,79,0.0,0.0,83.75,84.0,15.5,89.3162339438353,83.85714285714286,High
5,0,99,86,68,94,97,77,92,0.0,0.0,89.5,85.0,-2.5,88.61496387273858,87.57142857142857,High
3,12,99,73,77,74,62,68,99,0.0,0.0,78.0,80.0,15.5,85.42343694569291,78.85714285714286,High
2,22,75,83,70,71,86,95,76,0.0,0.0,75.5,84.66666666666667,21.0,90.96567392557432,79.42857142857143,High
1,14,63,80,99,78,60,84,86,0.0,0.0,75.0,83.33333333333333,18.5,86.51102743155057,78.57142857142857,High
0,41,96,88,90,100,94,87,96,0.0,1.0,95.0,90.33333333333331,41.0,95.20416847668729,93.0,Excellent
4,32,91,73,86,73,84,60,71,0.0,0.0,83.5,68.0,30.0,89.33184534188204,76.85714285714286,High
1,4,52,58,60,97,93,89,68,1.0,0.0,75.5,71.66666666666667,3.5,81.35034789038885,73.85714285714286,Average
1,22,99,71,80,82,95,64,64,0.0,1.0,89.0,66.33333333333333,21.5,85.97960668984538,79.28571428571429,High
3,17,84,62,92,74,73,98,91,0.0,0.0,80.75,83.66666666666667,15.5,87.18074365131373,82.0,High
2,2,100,90,82,79,94,83,78,0.0,0.0,88.75,83.66666666666667,1.0,91.71633851373394,86.57142857142857,High
4,33,82,71,93,90,90,76,97,0.0,0.0,88.75,81.33333333333333,31.0,90.49812048667664,85.57142857142857,High
5,29,75,88,65,80,76,94,97,0.0,0.0,74.0,93.0,26.5,88.57738250328802,82.14285714285714,High
1,27,66,71,94,72,96,70,63,0.0,0.0,82.0,68.0,26.5,86.64584958399325,76.0,High
6,34,99,88,72,76,68,92,72,0.0,0.0,78.75,84.0,36.0,88.09761928576192,81.0,High
3,2,99,76,94,88,75,66,84,0.0,0.0,89.0,75.33333333333333,0.5,88.41799425216611,83.14285714285714,High
3,22,95,87,79,95,84,90,74,0.0,0.0,88.25,83.66666666666667,20.5,92.08978960005308,86.28571428571429,High
7,33,99,61,75,68,66,90,99,0.0,0.0,77.0,83.33333333333333,29.5,83.9405865018438,79.71428571428571,High
5,17,65,72,96,69,78,93,72,0.0,0.0,77.0,79.0,14.5,87.95247506153828,77.85714285714286,High
7,4,85,55,74,71,66,50,99,1.0,0.0,74.0,68.0,0.5,83.11946739725369,71.42857142857143,Average
7,3,69,78,57,72,71,96,87,1.0,0.0,67.25,87.0,4.5,87.24964986475162,75.71428571428571,High
7,3,75,76,88,65,97,83,85,1.0,0.0,81.25,81.33333333333333,-0.5,89.66052409912562,81.28571428571429,High
7,17,91,78,72,69,77,91,96,0.0,0.0,77.25,88.33333333333333,18.5,89.4485388057704,82.0,High
3,6,92,95,61,98,89,85,80,0.0,0.0,85.0,86.66666666666667,4.5,87.54054193642054,85.71428571428571,High
7,9,62,64,65,86,67,94,68,0.0,0.0,70.0,75.33333333333333,5.5,87.5271723906955,72.28571428571429,Average
2,35,87,91,98,94,100,87,89,0.0,0.0,94.75,89.0,34.0,94.78098713949704,92.28571428571428,Excellent
3,17,97,88,87,61,86,92,94,0.0,0.0,82.75,91.33333333333331,15.5,88.09961985401107,86.42857142857143,High
1,7,97,92,79,88,92,99,85,0.0,0.0,89.0,92.0,6.5,93.0786733999354,90.28571428571428,Excellent
5,16,98,88,92,84,90,90,71,0.0,0.0,91.0,83.0,13.5,91.55691322526444,87.57142857142857,High
1,20,96,67,88,95,82,75,84,0.0,0.0,90.25,75.33333333333333,19.5,89.55285411498159,83.85714285714286,High
7,0,98,89,81,56,72,74,94,1.0,0.0,76.75,85.66666666666667,-3.5,85.41853753497107,80.57142857142857,High
